37111,1183.5,22.32
37112,1183.4,21.75
37113,1190.2,20.55
37116,1191.3,20.42
37117,1186.7,20.48
37118,1178,20.91
37119,1181.7,21.54
37120,1162,23.84
37123,1171.4,22.87
37124,1157.3,24.4
37125,1165.3,22.44
37126,1162.1,22.23
37127,1184.9,19.71
37130,1179.2,20.56
37131,1161.5,22
37132,1148.6,23.03
37133,1129,25.41
37134,1133.6,24.92
37138,1132.9,25.85
37139,1131.7,26.35
37140,1106.4,28.61
37141,1085.8,30.99
37144,1092.5,31.84
37151,1038.8,41.76
37152,1032.7,38.87
37153,1016.1,40.56
37154,984.54,43.74
37155,965.8,42.66
37158,1003.5,37.75
37159,1012.3,35.81
37160,1007,35.26
37161,1018.6,34
37162,1040.9,31.93
37165,1038.5,32.32
37166,1051.3,31.18
37167,1072.3,31.34
37168,1069.6,31.97
37169,1071.4,33.39
37172,1062.4,35.12
37173,1056.8,34.83
37174,1081,31.6
37175,1097.4,31.5
37176,1091.7,35.27
37179,1090,35.31
37180,1097.5,32.88
37181,1077.1,35.08
37182,1068.6,34.95
37183,1073.5,34.11
37186,1089.9,32.25
37187,1084.8,32
37188,1085.2,30.95
37189,1100.1,29.46
37190,1104.6,28.42
37193,1078.3,31.64
37194,1059.8,33.46
37195,1059.8,33.56
37196,1084.1,32.31
37197,1087.2,30.71
37200,1102.8,30.5
37201,1118.9,28.8
37202,1115.8,29.13
37203,1118.5,28.62
37204,1120.3,27.44
37207,1118.3,29.35
37208,1139.1,26.47
37209,1141.2,26.56
37210,1142.2,25.56
37211,1138.7,25.07
37214,1151.1,24.46
37215,1142.7,24.12
37216,1137,24.19
37218,1150.3,23.25
37221,1157.4,23.79
37222,1149.5,24
37223,1128.5,25.9
37224,1140.2,25.18
37225,1139.5,23.84
37228,1129.9,25.77
37229,1144.8,24.08
37230,1170.3,23.02
37231,1167.1,23.71
37232,1158.3,23.49
37235,1139.9,25.62
37236,1136.8,25.3
37237,1137.1,24.87
37238,1119.4,25.91
37239,1123.1,24.63
37242,1134.4,24.26
37243,1142.9,23.29
37244,1149.6,22.58
37245,1139.9,23.67
37246,1144.9,22.5
37249,1144.7,22.62
37251,1149.4,22.29
37252,1157.1,21.59
37253,1161,21.4
37256,1148.1,23.8
37258,1154.7,22.71
37259,1165.3,21.34
37260,1172.5,20.45
37263,1164.9,21.94
37264,1160.7,21.83
37265,1155.1,22.13
37266,1156.5,22.36
37267,1145.6,22.6
37270,1138.4,23.58
37271,1146.2,22.7
37272,1127.6,23.45
37273,1138.9,22.25
37274,1127.6,22.52
37278,1119.3,23.61
37279,1128.2,21.88
37280,1132.2,21.15
37281,1133.3,21.01
37284,1133.1,21.14
37285,1100.6,24.35
37286,1113.6,23.22
37287,1130.2,21.09
37288,1122.2,21.12
37291,1094.4,24.87
37292,1090,25.45
37293,1083.5,26.09
37294,1080.2,25.11
37295,1096.2,23.26
37298,1111.9,21.78
37299,1107.5,21.62
37300,1118.5,20.85
37301,1116.5,21.77
37302,1104.2,22.37
37306,1083.3,24.43
37307,1098,22.66
37308,1081,23.8
37309,1089.8,22.86
37312,1109.4,21.84
37313,1109.4,21.68
37314,1109.9,21.49
37315,1106.7,21.59
37316,1131.8,19.96
37319,1153.8,20.5
37320,1146.1,20.3
37321,1162.8,19.94
37322,1157.5,20.04
37323,1164.3,19.27
37326,1168.3,19.84
37327,1165.6,19.59
37328,1154.1,19.46
37329,1153,19.2
37330,1166.2,18.42
37333,1165.5,18.93
37334,1170.3,18.16
37335,1151.8,18.46
37336,1153.6,18.15
37337,1148.7,17.77
37340,1131.9,18.48
37341,1138.5,18.13
37342,1144.6,17.7
37343,1147.4,17.4
37347,1146.5,18.73
37348,1136.8,19.16
37349,1125.4,20.2
37350,1126.3,19.78
37351,1122.7,19.13
37354,1125.3,19.61
37355,1117.8,19.47
37356,1130.5,18.19
37357,1103.7,20.3
37358,1111,19.42
37361,1102.5,19.82
37362,1128.4,18.11
37363,1126.1,18.43
37364,1124.5,19.29
37365,1125.2,18.3
37368,1107.8,19.77
37369,1101,20.28
37370,1093.1,20.77
37371,1091.5,20.95
37372,1076.3,22.14
37375,1065.5,24.05
37376,1076.9,21.91
37377,1086.5,20.06
37378,1084.6,20.07
37379,1073.4,20.19
37382,1052.7,22.56
37383,1049.5,21.94
37384,1088.8,20.39
37385,1073,21.56
37386,1055,22.41
37389,1074.6,20.72
37390,1097.3,19.35
37391,1091.1,19.19
37392,1098.2,18.5
37393,1106.6,17.7
37396,1091.9,19.24
37397,1079.9,20.05
37398,1086,19.58
37399,1097.1,18.23
37400,1083.8,18.9
37404,1074.5,20.31
37405,1067.7,20.39
37406,1064.7,20.61
37407,1067.1,19.98
37410,1040.7,23.37
37411,1040.7,23.89
37412,1049.9,22.61
37413,1029.2,24.16
37414,1027.5,23.51
37417,1030.7,23.72
37418,1013.6,24.45
37419,1020.3,24.15
37420,1009.6,25.02
37421,1007.3,25.96
37424,1036.2,24.64
37425,1037.1,24.24
37426,1020,26.06
37427,1006.3,27.48
37428,989.14,27.23
37431,992.72,26.98
37432,976.14,27.84
37433,973.53,28.42
37434,990.64,26.29
37435,989.81,25.4
37438,968.65,27.11
37439,948.09,28.96
37440,953.99,29.42
37442,989.03,27.11
37445,976.98,28.25
37446,952.83,30.22
37447,920.47,34.1
37448,927.37,33.85
37449,921.39,32.94
37452,917.93,35.03
37453,901.05,36.65
37454,906.04,35.45
37455,881.56,35.12
37456,847.76,38.17
37459,819.85,41.87
37460,797.7,44.92
37461,843.42,39.86
37462,838.68,39.27
37463,852.84,35.51
37466,898.96,31.33
37467,902.78,31.92
37468,911.62,32.03
37469,884.66,36.95
37470,864.24,41.29
37473,834.6,45.08
37474,859.57,42.03
37475,876.77,38.73
37476,905.46,36.33
37477,908.64,35.33
37480,903.8,37.05
37481,884.21,35.82
37482,919.62,32.36
37483,930.25,29.43
37484,928.77,28.81
37487,950.72,28.61
37488,937.43,29.59
37489,949.36,28.23
37490,962.7,27.75
37491,940.86,29.32
37494,947.95,29.89
