date,Garch Volatilities,Standerized Returns,Log Returns,VaR
2013-07-18 00:00:00,2.4995418609076765,-0.799438129655951,-1.9982290702807881,5.81480389419866
2013-07-19 00:00:00,2.556510276158806,-1.207530949383207,-3.0870652808779675,5.947332245905601
2013-07-22 00:00:00,2.706969248090189,0.09743155729629031,0.26374422939459513,6.297352155388544
2013-07-23 00:00:00,2.619475446950867,1.363801156905726,3.572443645037736,6.09381113711633
2013-07-24 00:00:00,2.5934828976467252,-0.1351031124483384,-0.350387611553608,6.033343425301739
2013-07-25 00:00:00,2.5296799843208344,-0.20598870817117562,-0.5210855120567285,5.884915653528441
2013-07-26 00:00:00,2.4813326356431973,-0.26243125915986193,-0.6511792479663032,5.772442901716708
2013-07-29 00:00:00,2.445714011567211,-0.9216930369717667,-2.254197574885785,5.689581591321278
2013-07-30 00:00:00,2.5330674319925524,0.3160354372501749,0.800539073453944,5.892796035217966
2013-07-31 00:00:00,2.4715901284730664,0.18394916525118227,0.4546469409756829,5.749778440873646
2013-08-01 00:00:00,2.4148901245400327,0.8779189324332052,2.1200777600796754,5.617874507265927
2013-08-02 00:00:00,2.3876435995728897,0.15644292973495996,0.37352995988010845,5.5544896118336125
2013-08-05 00:00:00,2.3413757646711306,0.5273839369301325,1.2348039686050603,5.4468545324734325
2013-08-06 00:00:00,2.3104074851318996,0.4420510063347447,1.021317953845883,5.37481154120464
2013-08-07 00:00:00,2.280947560329604,-0.2539908103499321,-0.5793397192138168,5.306277507771417
2013-08-08 00:00:00,2.2688065000409634,0.10209489433013139,0.2316335598771974,5.278033177980336
2013-08-09 00:00:00,2.2377602760990167,0.17094190077346175,0.3825269950717125,5.205808860915992
2013-08-12 00:00:00,2.211993911480616,1.1548224867271744,2.554460309481414,5.145867333364214
2013-08-13 00:00:00,2.221392351082484,0.03187372220191436,0.0708040426998605,5.167731373351321
2013-08-14 00:00:00,2.1963079007554906,-0.14093253155993413,-0.30953123253855586,5.109376215661637
2013-08-15 00:00:00,2.183910648757753,-0.5966976532056897,-1.3031343589246664,5.080535894832751
2013-08-16 00:00:00,2.2316582656668675,-0.33222341053275745,-0.7414091201634652,5.191613461919787
2013-08-19 00:00:00,2.2352513110293155,0.6397069800869061,1.429905865913861,5.19997213536005
2013-08-20 00:00:00,2.2218086099921215,-0.2787701238345584,-0.6193738613441918,5.168699736380807
2013-08-21 00:00:00,2.220101954167132,0.008357370210583128,0.01855421393621378,5.164729461230624
2013-08-22 00:00:00,2.19534394862714,0.04947246125002829,0.1086090684289403,5.107133727677172
2013-08-23 00:00:00,2.174033648971968,-0.44151542782903286,-0.9598693966405718,5.057558557379189
2013-08-26 00:00:00,2.199372539124895,0.9274886973768313,2.0398931713593225,5.116505630617005
2013-08-27 00:00:00,2.2009909117636015,0.03923772012750739,0.08636186539896751,5.1202705283644665
2013-08-28 00:00:00,2.178816365174018,-0.4555693048419244,-0.9926018568605359,5.068684819047969
2013-08-29 00:00:00,2.2055801463269553,-0.24709396874496223,-0.5449855517410219,5.130946684434399
2013-08-30 00:00:00,2.2023766892488807,-0.06643369700236182,-0.14631202565862492,5.123494328871239
2013-09-03 00:00:00,2.1835654595537424,0.9151444876697812,1.9982778937767398,5.07973286466186
2013-09-04 00:00:00,2.1867590507154633,-0.12630217641357377,-0.27619242739744354,5.087162268671485
2013-09-05 00:00:00,2.1744549019912065,-0.3257118206411716,-0.7082456650296762,5.058538538444928
